ngram,count
強止步,32
梅樹坑,32
時使用,32
以確保,32
先後讀,32
議員陳,32
麥明詩,32
ова,32
九十九,32
名嘅大,32
印尼同,32
五個人,32
積極推,32
潮濕嘅,32
力或者,32
嘅民歌,32
到嗰時,32
係最多,32
嘅路軌,32
以有一,32
學家有,32
重要求,32
支撐住,32
喺內地,32
江大學,32
聖類斯,32
馮延巳,32
佛教同,32
但依然,32
－於是,32
份香港,32
港兩地,32
葵涌道,32
乳酸菌,32
嘅氣溫,32
身份加,32
受保護,32
一條係,32
一直被,32
呢啲大,32
第八個,32
出咗兩,32
跟手就,32
出嚟用,32
木屋區,32
食咗佢,32
月成為,32
嘅嘉賓,32
佢喺台,32
寫嘅歌,32
洋一個,32
構成咗,32
碳酸鈣,32
新幹線,32
周柏豪,32
人口比,32
經過長,32
嘅所謂,32
成件事,32
就必須,32
係法蘭,32
建議喺,32
同網上,32
改裝成,32
到嶺南,32
人教育,32
正電荷,32
係啱啱,32
嘅詳細,32
官方名,32
經常畀,32
街都係,32
因素而,32
同埋網,32
月左右,32
錦上路,32
眾說紛,32
傳說嘅,32
多蒙特,32
告入面,32
純一郎,32
去呢個,32
嘅天后,32
億歐元,32
異體字,32
惠英紅,32
вый,32
嘅事蹟,32
大陸之,32
所以我,32
係種電,32
州一區,32
一個雙,32
有音樂,32
佢哋去,32
咗四個,32
禮賢會,32
米咁高,32
止服務,32
做手術,32
許雲基,32
面嘅資,32
追溯至,32
飾演一,32
學生學,32
擊敗咗,32
大家族,32
語翻譯,32
六年級,32
網上面,32
官員同,32
負責搞,32
之外重,32
雜誌嘅,32
次個人,32
於中央,32
入選過,32
等國家,32
條過海,32
呢棟樓,32
費達拿,32
好關係,32
有美感,32
就算一,32
世紀起,32
時就有,32
都會去,32
能夠一,32
備工作,32
食物鏈,32
未有一,32
同埋設,32
被提名,32
出身自,32
喺元朝,32
特別喺,32
北京中,32
英國王,32
回歸之,32
毛主席,32
係啲人,32
凱門鱷,32
包括海,32
個架空,32
位音樂,32
月入伙,32
進行改,32
嘅自我,32
九巴喺,32
搬到去,32
節入面,32
政府派,32
亦有幾,32
過第一,32
解釋呢,32
做美國,32
世界第三,32
中國現代,32
萬立方米,32
商業二台,32
科幻故仔,32
嘅過程中,32
冇人受傷,32
可能因為,32
喺紐約市,32
後嚟廣州,32
三甲醫院,32
康熙年間,32
學生人數,32
有啲品種,32
咗佢哋嘅,32
個正整數,32
起咗唔少,32
主要用到,32
而引起嘅,32
科學家就,32
上係一種,32
藥用方面,32
或者寫做,32
被任命為,32
早年生涯,32
可以達到,32
雖然話佢,32
祖籍浙江,32
一個市場,32
社會各界,32
配套設施,32
家可以用,32
愛情喜劇,32
為香港嘅,32
入面所有,32
開始有人,32
成個歐洲,32
喺同一時,32
反作用力,32
動物嘅腦,32
講普通話,32
係一種非,32
所有人都,32
係一個用,32
同阿拉伯,32
美國恐怖,32
學獎得主,32
期間嗌過,32
機場鐵路,32
兩個國家,32
年正式開,32
阿拉伯話,32
田徑運動,32
喺月台西,32
負責開發,32
一個區域,32
連接香港,32
輸入輸出,32
一個版本,32
想像家吓,32
天水圍站,32
大學歷史,32
嘅男歌手,32
出現咗一,32
鄉下地區,32
係拉丁文,32
為主題嘅,32
世界大學,32
紀念公園,32
第一人稱,32
法律程序,32
頭班車開,32
廣東省第,32
世界好多,32
二十三年,32
嘅動物園,32
進修學院,32
連續函數,32
另外仲有,32
亦有唔同,32
名係因為,32
韻部分佈,32
一千二百,32
仍然保留,32
學位課程,32
文學碩士,32
今日嘅中,32
年份規劃,32
一個公園,32
國政治家,32
一個細佬,32
入面整咗,32
達成共識,32
駐港英軍,32
銀行發行,32
嚴重影響,32
呢個碼頭,32
美國愛情,32
一個特別,32
所以呢啲,32
貨幣供應,32
佛山南海,32
大自然嘅,32
以嚟第一,32
比較流行,32
首次出現,32
量度一個,32
用腦電圖,32
馬來亞聯,32
一個日本,32
嗰時已經,32
古漢語嘅,32
廣場入面,32
生殖器官,32
東北面嘅,32
大家齊齊,32
一個資訊,32
珠江大橋,32
六二三路,32
係歐洲最,32
元素之一,32
恒生指數,32
和宜合道,32
就可以得,32
選舉期間,32
當中都有,32
任何關係,32
東張西望,32
之間嘅地,32
納米比亞,32
嘅大部份,32
性嘅問題,32
新聞記者,32
世紀尾嘅,32
總共有三,32
仁濟醫院,32
中山五路,32
覺得佢哋,32
相對簡單,32
入面嘅大,32
暨南大學,32
成功攞到,32
保護自己,32
嘅行為同,32
年喺中國,32
諗出嚟嘅,32
娛樂節目,32
終身監禁,32
最高權力,32
獎最佳新,32
入面發現,32
搬到而家,32
當時已經,32
呢啲地區,32
黃泥涌峽,32
投降之後,32
國際天文,32
嘉賓主持,32
媒體平台,32
可以使用,32
華納音樂,32
物理性質,32
亞洲國家,32
時代開始,32
伊利諾州,32
香港電車,32
海洋生物,32
比較唔同,32
正常運作,32
係喺一個,32
有一個大,32
未有定論,32
軍事政變,32
通常都唔,32
本身就係,32
讀書嗰陣,32
精神病院,32
國家地區,32
呢條鐵路,32
之間嘅海,32
亦係唯一,32
意大利人,32
嘅女歌手,32
係香港出,32
佢哋都有,32
八號風球,32
呢個景區,32
引起好大,32
主要對手,32
等方面嘅,32
工程學院,32
同相關嘅,32
喺中國華,32
網絡嘅輸,32
工程學嘅,32
喺定義上,32
年代之前,32
海峽兩岸,32
港島選區,32
遊戲規則,32
物種形成,32
係一種生,32
係得一個,32
不過唔係,32
一啲可以,32
伊拉克嘅,32
唔可以同,32
人類活動,32
美國出世,32
佐川急便,32
正式批准,32
大嶼山嘅,32
會有以下,32
研究者搵,32
心理狀態,32
司法覆核,32
主要分為,32
啲演算法,32
亦有人叫,32
呢啲活動,32
手頭上嘅,32
喺沙田區,32
第一個字,32
八分音符,32
南方大廈,32
同埋第二,32
戰爭嗰陣,32
不過佢嘅,32
唔係因為,32
會通過咗,32
可以影響,32
上古音嘅,32
跨境巴士,32
嘅加速度,32
香港郵政,32
喺古希臘,32
重要角色,32
五大訴求,32
京那巴魯,32
伊麗莎白,32
入面話咗,32
上嘅資源,32
路線經過,32
個名出自,32
嘅第一日,32
機場快線,32
上嘅表現,32
文化發展,32
系列作品,32
同埋電影,32
特許經營,32
碩士課程,32
人民南路,32
現代建築,32
互聯網嘅,32
一個特徵,32
佢嚟自英國,32
南部嘅一個,32
係西班牙嘅,32
入面嘅一種,32
係華南地區,32
市區重建局,32
呢個節目喺,32
中國最大嘅,32
係種食得嘅,32
香港九龍油,32
國務院批准,32
年代尾開始,32
之間嘅連繫,32
發展出嚟嘅,32
車身製造廠,32
月投入服務,32
嘅公共屋邨,32
東京電視台,32
為中華民國,32
出名嘅角色,32
改革開放後,32
其中包括咗,32
美國國務卿,32
嘅資訊處理,32
好多香港人,32
收到嘅資訊,32
多數情況下,32
新界鄉議局,32
係香港私人,32
嘅理論模型,32
南面嘅一個,32
職業籃球員,32
喺法國巴黎,32
國民黨中央,32
倫巴第大區,32
一般情況下,32
係美國紐約,32
警務處處長,32
棟建築物嘅,32
汽車客運站,32
總人口大約,32
快樂大本營,32
呢個演算法,32
嘅唱片公司,32
個電腦程式,32
幫無綫電視,32
中國大陸有,32
列支敦士登,32
市政局議員,32
九龍西選區,32
嘅成員之一,32
高速公路喺,32
俠盜獵車手,32
嘅遊戲節目,32
及鳥棲砂岩,32
最佳新人獎,32
香港西九龍,32
係好出名嘅,32
創辦人之一,32
九龍何文田,32
喺新界粉嶺,32
喺北京出世,32
主要材料係,32
嘅一間大學,32
係英國倫敦一,32
西區海底隧道,32
放射性同位素,32
獎最佳男配角,32
及札幌岡薩多,32
新大嶼山巴士,32
委員會委員長,32
喺九龍深水埗,32
新疆維吾爾族,32
馬來西亞教育,32
改革開放之後,32
效力山口雷法,32
其他學習經歷,32
州係俄羅斯西,32
所以呢個站嘅,32
最佳作曲人獎,32
效力金澤薩維根,32
中國大陸同香港,32
嘅一間公立大學,32
效力熊本羅亞素,32
香港電台第二台,32
有扶手電梯同樓梯,32
商務及經濟發展局,32
係中國中央電視台,32
中國特色社會主義,32
係香港歌手張敬軒,32
屬於熱帶雨林氣候,32
月加入中國共產黨,32
於中華人民共和國,32
逢星期一至星期五,32
係日本千葉縣一市,32
效力群馬草津溫泉,32
係日本埼玉縣一市,32
係中國大陸湖南衛視,32
聲母來源自中古音嘅,32
係日本愛知縣一個市,32
效力讚岐卡馬達馬尼,32
西班牙甲組足球聯賽,32
係中華人民共和國政,32
係香港中環一條馬路,32
日本足球代表隊成員,32
係后髮座嘅一粒恆星,32
係注音符號嘅其中一個,32
係中華人民共和國重慶市,32
係一種專門釀酒用嘅提子,32
係中國廣東省廣州市荔灣區,32
係西班牙亞拉岡威斯卡省一座城,32
係中國廣東廣州嘅東西走向道路,32
蟧,31
鸞,31
俸,31
頜,31
罟,31
鮭,31
霓,31
蠏,31
疴,31
정,31
撘,31
琥,31
銨,31
鉑,31
諦,31
蛺,31
頴,31
呵,31
柿,31
貳,31
蹺,31
綬,31
ह,31
蓆,31
喳,31
桀,31
ご,31
嗓,31
ュ,31
同韻,31
休養,31
有禮,31
嘅鴨,31
同湯,31
為道,31
發問,31
哈羅,31
野牛,31
代議,31
本全,31
白一,31
仔響,31
港聞,31
邊幾,31
新穎,31
阿松,31
王朱,31
會籍,31
藤森,31
買低,31
擬爲,31
最貴,31
心成,31
科士,31
錦棠,31
酸味,31
同彭,31
詞尾,31
至好,31
上為,31
行廣,31
扭轉,31
線公,31
被歸,31
續佢,31
霞山,31
宮本,31
臨界,31
淮安,31
屋大,31
上榜,31
車大,31
都死,31
年特,31
亦主,31
較快,31
五山,31
叫英,31
亂之,31
論佢,31
王進,31
莫西,31
下其,31
編咗,31
清河,31
任爲,31
對南,31
兩班,31
同免,31
架新,31
奇跡,31
及亞,31
工都,31
東嗰,31
起就,31
商報,31
無聊,31
來廣,31
站廣,31
去出,31
由專,31
顎化,31
西二,31
耳機,31
頭骨,31
草堂,31
總比,31
至新,31
持牌,31
土城,31
而教,31
惡人,31
種單,31
及日,31
高水,31
園第,31
少於,31
雷暴,31
斯金,31
女雙,31
足綱,31
孝元,31
必打,31
爾布,31
對粵,31
傳開,31
轉右,31
年黃,31
隊大,31
啲醫,31
襲警,31
過深,31
調唔,31
事亦,31
係孔,31
到環,31
出四,31
於前,31
式電,31
式甜,31
置上,31
坑路,31
又高,31
畀陳,31
巴托,31
拉氏,31
按地,31
路俾,31
清子,31
香島,31
點設,31
由烏,31
報新,31
屆總,31
者響,31
旅舍,31
低潮,31
盂蘭,31
金榜,31
影印,31
城墻,31
面推,31
前只,31
響現,31
年慶,31
到維,31
嗮出,31
去管,31
導員,31
出東,31
客到,31
在我,31
阿倫,31
о́,31
件數,31
菲沙,31
數通,31
所處,31
啲狼,31
眾所,31
次接,31
理專,31
航速,31
王二,31
對神,31
畫人,31
期存,31
會港,31
選歌,31
過生,31
場冇,31
喺薩,31
周末,31
統嗰,31
攞景,31
雞公,31
有台,31
及開,31
對機,31
本對,31
服同,31
有圖,31
串流,31
虎豹,31
魯爾,31
的事,31
界仲,31
要資,31
係字,31
出碟,31
埠頭,31
世一,31
辛格,31
嘅蟹,31
都特,31
個第,31
由元,31
實之,31
腦都,31
族為,31
局最,31
圍地,31
紙質,31
經加,31
按原,31
學明,31
稱同,31
埋超,31
歲先,31
黃玉,31
佈新,31
係供,31
河豚,31
副修,31
七間,31
於時,31
法子,31
鳥同,31
搭載,31
識佢,31
國清,31
加河,31
胞胎,31
人領,31
念頭,31
由盧,31
字義,31
對女,31
為依,31
磚牆,31
舊區,31
句嘅,31
庫係,31
關嗰,31
背部,31
多河,31
月九,31
十次,31
個排,31
開車,31
時其,31
一則,31
天耀,31
方嗰,31
入宮,31
黑同,31
隊全,31
接送,31
同洋,31
泉同,31
炮仗,31
平年,31
的新,31
城新,31
攝家,31
語彙,31
亡後,31
基文,31
係角,31
個接,31
同故,31
睡蓮,31
同病,31
浴場,31
眾籌,31
種設,31
係頂,31
向地,31
高而,31
樣先,31
中考,31
時每,31
三井,31
朝以,31
指好,31
重不,31
每段,31
間帶,31
顯然,31
讓步,31
級專,31
色版,31
樣出,31
校務,31
片由,31
壓低,31
走之,31
旁聽,31
起動,31
圓羣,31
條柱,31
會回,31
員開,31
共五,31
法特,31
買樓,31
每股,31
係晉,31
咗非,31
家常,31
宗主,31
新書,31
自作,31
展最,31
救助,31
電筒,31
都統,31
所開,31
月建,31
度俾,31
卡利,31
省總,31
文重,31
名上,31
爾公,31
為知,31
允恭,31
嘅紋,31
石上,31
名士,31
後其,31
龍街,31
繼體,31
有航,31
使同,31
睇同,31
而深,31
為防,31
做藍,31
永定,31
拉海,31
民過,31
製衣,31
有空,31
前學,31
入黨,31
手合,31
作等,31
咗句,31
推古,31
海伯,31
俗字,31
鶴佬,31
型單,31
守喺,31
似電,31
果當,31
二細,31
到紐,31
飯堂,31
優酷,31
成重,31
馬亞,31
略上,31
有魔,31
站向,31
利中,31
器有,31
葉子,31
進民,31
而太,31
成開,31
係曉,31
基克,31
種發,31
未達,31
俗文,31
五首,31
乎喺,31
事態,31
普斯,31
偵查,31
上更,31
攝取,31
高文,31
段改,31
用代,31
得高,31
定死,31
大鐵,31
雅苑,31
辣味,31
不入,31
咗為,31
到普,31
賽分,31
過打,31
個勢,31
тн,31
湯係,31
楊坤,31
來出,31
禾輋,31
啲記,31
號解,31
就計,31
精湛,31
而支,31
且經,31
應喺,31
國馬,31
出門,31
熱同,31
赫斯,31
一腳,31
朱德,31
商議,31
響沙,31
對古,31
面高,31
升職,31
射同,31
有股,31
磁石,31
機種,31
西聯,31
長劉,31
人歸,31
伙記,31
子流,31
喺完,31
外甥,31
員任,31
熱食,31
總計,31
信有,31
格特,31
塘西,31
色底,31
個左,31
夜景,31
有都,31
過橋,31
建喺,31
山寺,31
等喺,31
為溫,31
大旗,31
禮喺,31
格致,31
賽有,31
聆聽,31
天的,31
業總,31
間演,31
度達,31
要反,31
算用,31
校規,31
個短,31
宅嘅,31
廣德,31
官田,31
路落,31
瑞金,31
去畀,31
通天,31
有獎,31
要死,31
作機,31
而唐,31
到或,31
有吸,31
亞中,31
授嘅,31
拎來,31
人越,31
畀女,31
合用,31
渠喺,31
站通,31
餓死,31
同複,31
右側,31
噉俾,31
潛能,31
境係,31
嘅絲,31
意做,31
優勝,31
個次,31
花萼,31
視障,31
所採,31
法兩,31
啲場,31
二律,31
今係,31
上完,31
莊子,31
平湖,31
為越,31
同列,31
上花,31
就結,31
斯公,31
多教,31
嘅迪,31
心西,31
請嘅,31
係野,31
稱三,31
冇規,31
風係,31
更嚴,31
明高,31
保嘅,31
園景,31
於打,31
督同,31
係委,31
員職,31
局總,31
避暑,31
是中,31
子響,31
兩江,31
家當,31
何家,31
史係,31
簡直,31
開火,31
房車,31
種煮,31
ыс,31
到佛,31
頂山,31
次名,31
面保,31
加文,31
快慢,31
代子,31
興國,31
水嚟,31
死晒,31
而女,31
蘭自,31
渠地,31
尾聲,31
個裝,31
字好,31
交際,31
影都,31
行雷,31
精華,31
集到,31
中進,31
澳高,31
理文,31
將雞,31
賓語,31
程唔,31
佢佔,31
知幾,31
喺宣,31
後門,31
而九,31
束縛,31
到荔,31
同尾,31
型上,31
告人,31
母分,31
建之,31
叫江,31
生肖,31
局改,31
團第,31
更早,31
點分,31
士法,31
人獨,31
周家,31
去珠,31
內核,31
誅殺,31
愛是,31
學道,31
文館,31
驚訝,31
林中,31
誠實,31
士用,31
兆銘,31
請過,31
或更,31
學海,31
第幾,31
往上,31
貶低,31
或唔,31
屬北,31
道由,31
物過,31
嘅匯,31
樣得,31
嘅笑,31
部直,31
聽過,31
度新,31
埋葬,31
往事,31
抽到,31
受外,31
大平,31
消腫,31
伙伴,31
氏之,31
喺底,31
八隻,31
班就,31
嘅並,31
仁喺,31
橙紅,31
院設,31
城高,31
區比,31
利政,31
木造,31
發財,31
得政,31
夏人,31
開唔,31
開有,31
啲空,31
好而,31
發街,31
學美,31
明智,31
湯姆,31
網媒,31
草藥,31
想法,31
嚟上,31
陽之,31
區小,31
之書,31
型比,31
學副,31
除數,31
流中,31
所佔,31
區到,31
比大,31
副手,31
祥同,31
瓜達,31
後排,31
住原,31
大寶,31
曙光,31
由利,31
奕信,31
澳工,31
成的,31
隨身,31
逆轉,31
城嗰,31
航同,31
木一,31
蛺蝶,31
係漁,31
線系,31
心噉,31
三界,31
田佳,31
嚟配,31
考取,31
於安,31
家陳,31
辦地,31
改掛,31
會兩,31
安里,31
聞喜,31
商名,31
去之,31
稠密,31
有才,31
利都,31
緊同,31
埃斯,31
耐佢,31
要變,31
舞種,31
頭仔,31
立南,31
片就,31
無咩,31
加好,31
公制,31
不惜,31
要教,31
乘數,31
式廣,31
接中,31
明都,31
清單,31
成圓,31
形之,31
創發,31
隻豬,31
理機,31
伊勢,31
精準,31
指點,31
過細,31
義或,31
葉林,31
將阿,31
氣動,31
喙鯨,31
就傳,31
將太,31
文網,31
中流,31
嘅灣,31
天奴,31
個密,31
局要,31
乘坐,31
華樂,31
於羅,31
頭像,31
移至,31
網遊,31
五米,31
埔同,31
年教,31
分派,31
藥性,31
鹹書,31
廠做,31
羽泉,31
波手,31
詳見,31
攞牌,31
綫上,31
林德,31
二國,31
都興,31
仔角,31
三浦,31
圍就,31
圖嗰,31
足一,31
前起,31
心佢,31
帝君,31
唔被,31
亦兼,31
讚好,31
士仁,31
月日,31
按揭,31
話譯,31
爾塔,31
疼痛,31
而內,31
易被,31
嘅稅,31
毛巾,31
泰州,31
話最,31
院上,31
仲攞,31
擺動,31
係露,31
任用,31
會神,31
號登,31
為部,31
奇案,31
庶子,31
喺隔,31
畀九,31
響兩,31
家約,31
喺講,31
精管,31
嘅額,31
水唔,31
獸醫,31
國六,31
得攞,31
達縣,31
氏人,31
登台,31
聲討,31
緻嘅,31
尾至,31
喺代,31
搵嚟,31
應邀,31
櫳都,31
韓一,31
喺茶,31
去市,31
粒點,31
知會,31
安格,31
用蒸,31
時年,31
化嚟,31
體性,31
因中,31
作到,31
六任,31
山起,31
心內,31
羅維,31
雲係,31
桌面,31
據返,31
量越,31
位重,31
等六,31
徂一,31
尼維,31
榮休,31
詹士,31
萬畝,31
藩鎮,31
成小,31
仲發,31
線主,31
庭園,31
開墾,31
佢選,31
下開,31
證法,31
醬同,31
係協,31
碟喺,31
偷走,31
出貓,31
扎伊,31
涌市,31
受阻,31
拉加,31
量而,31
斷同,31
禮同,31
末世,31
搞開,31
粟特,31
住長,31
能一,31
追討,31
或長,31
隊贏,31
建過,31
恒基,31
麻衣,31
動產,31
搵工,31
雪同,31
隻藥,31
七約,31
煙肉,31
主軸,31
圍去,31
化令,31
種理,31
油脂,31
轉手,31
起色,31
一程,31
驗所,31
葉一,31
要關,31
無異,31
學重,31
向無,31
私下,31
昌嘅,31
聚龍,31
－阿,31
大賣,31
絕望,31
簡陋,31
艱苦,31
著數,31
值－,31
嘅貧,31
話兩,31
大美,31
男方,31
咗年,31
孭住,31
心思,31
物組,31
寧同,31
指派,31
險同,31
的傳,31
復修,31
角海,31
期好,31
行普,31
隻有,31
中為,31
臺大,31
周文,31
端有,31
懿德,31
學噉,31
月前,31
經連,31
板係,31
鄉紳,31
論呢,31
種民,31
將分,31
亞克,31
蟹科,31
獨奏,31
師行,31
喺伯,31
麋芳,31
北交,31
年對,31
堡同,31
有綠,31
次起,31
獎攞,31
轉畀,31
謝爾,31
汪洋,31
度的,31
歲差,31
老大,31
星式,31
承辦,31
啲只,31
為鄭,31
楊尚,31
叫文,31
件大,31
期受,31
兩到,31
軍種,31
個離,31
話重,31
佬話,31
教文,31
精心,31
種詞,31
過女,31
之手,31
時海,31
年路,31
自明,31
星環,31
費拉,31
劇烈,31
周代,31
來臨,31
九萬,31
海嗰,31
鋪咗,31
建模,31
會規,31
花絮,31
氣好,31
同雨,31
租客,31
咁搞,31
函子,31
蝗蟲,31
三街,31
科擬,31
節嗰,31
掘到,31
號行,31
嶺道,31
加返,31
嚟製,31
條脷,31
包容,31
川地,31
有塊,31
竹田,31
我在,31
信眾,31
嘅儒,31
就拆,31
聖廟,31
琴手,31
以九,31
名句,31
論之,31
尾先,31
想你,31
前書,31
若然,31
人派,31
間受,31
具一,31
拉省,31
基於呢,31
比賽結,31
公司要,31
如果你,31
沙螺灣,31
енн,31
新一輪,31
境內有,31
量度到,31
彰化縣,31
位女性,31
生得好,31
面對住,31
喺南北,31
被選為,31
芳村區,31
廣州成,31
呢個部,31
咗個大,31
嘅介紹,31
學之後,31
嘅票數,31
非常唔,31
大結局,31
開咗兩,31
點樣去,31
地開始,31
人主張,31
好多本,31
許智峯,31
風格同,31
由人民,31
資訊嗰,31
里安納,31
而變得,31
學中心,31
並且成,31
傳統字,31
陳廷驊,31
或者俾,31
學英文,31
最少有,31
用嚟喺,31
開始寫,31
先發現,31
數據做,31
人更加,31
腓尼基,31
負責喺,31
廣場嗰,31
洲文化,31
嘅頭一,31
大道近,31
或者譯,31
最後三,31
一齊生,31
同酒店,31
身處嘅,31
喺寶安,31
都北京,31
話或者,31
етс,31
述一個,31
羅湖區,31
咗一張,31
到晚黑,31
數字同,31
個網上,31
斯王子,31
香港太,31
嘅暴力,31
佢先至,31
路嗰陣,31
用咗兩,31
標準係,31
打拍子,31
用唔到,31
挑戰者,31
反映到,31
大賽攞,31
一無所,31
係地面,31
卡片嘅,31
佢哋為,31
數嘅平,31
稱香港,31
障人士,31
音樂演,31
啲時間,31
個熒幕,31
年建成,31
傳資訊,31
人結婚,31
三文魚,31
效果嘅,31
學上有,31
外蒙古,31
啲腦區,31
發展為,31
之後參,31
個體喺,31
一等獎,31
因為以,31
門可以,31
個樓盤,31
門入面,31
表示喺,31
龍鼓灘,31
正面嘅,31
網民嘅,31
團入面,31
可以慳,31
四十七,31
萬人嘅,31
係得個,31
喺進化,31
同周邊,31
警方嘅,31
一個圈,31
年臺灣,31
軍之後,31
久失修,31
估計嘅,31
位嗰陣,31
或者金,31
禮入面,31
朝時代,31
嘅錄製,31
島嘅東,31
同之後,31
返放工,31
佢攞咗,31
水資源,31
嘅直線,31
批評者,31
三十個,31
家下叫,31
嘅內陸,31
情況嘅,31
當選嘅,31
分配嘅,31
一粒粒,31
佢就喺,31
洲西北,31
挪威嘅,31
移交畀,31
由華人,31
合香港,31
嘅雙層,31
而隨住,31
有一點,31
就改為,31
能力都,31
金屬嘅,31
會顯示,31
世博會,31
同埋專,31
體中心,31
代國王,31
必需品,31
一種食,31
山東南,31
花一般,31
歷史書,31
有嶺南,31
台灣台,31
議會喺,31
文物館,31
實業家,31
能夠解,31
嘅名聲,31
佢嘅話,31
咗英文,31
紅衛兵,31
年升做,31
韓國女,31
下降嘅,31
負責任,31
係喺度,31
特洛伊,31
好多特,31
裏面最,31
嘅助理,31
磷酸化,31
地區搞,31
資源室,31
嘅困難,31
嘅動力,31
電影等,31
每日有,31
條曲線,31
可以投,31
一個因,31
將其中,31
呢啲有,31
動物嚟,31
許冠文,31
點新聞,31
水坑口,31
係啤牌,31
年代就,31
千萬年,31
已經起,31
係建立,31
喺文學,31
位於澳,31
帝國時,31
香港影,31
李佳芯,31
入面佢,31
同埋市,31
唔明顯,31
大學英,31
再繼續,31
製作出,31
學專家,31
國最後,31
係春秋,31
亦因而,31
研究過,31
加利化,31
但一直,31
都係單,31
紀錄係,31
分做四,31
係嗰啲,31
一個幾,31
陳百祥,31
並獲得,31
嘅資本,31
講英文,31
政府用,31
城門谷,31
啲運算,31
東北偏,31
附近同,31
美籍華,31
個術語,31
佢指出,31
色方面,31
亞利桑,31
加法嘅,31
互動嘅,31
用暴力,31
周不時,31
綠燈俠,31
視為係,31
嘅等級,31
若果喺,31
石家莊,31
做首相,31
項大獎,31
又俾人,31
時佢嘅,31
攞到全,31
比較粗,31
道一市,31
編程上,31
電影發,31
站嗰陣,31
嘅焦點,31
國畫家,31
國其他,31
後接受,31
之後接,31
玻璃樽,31
啲有關,31
人建立,31
以分開,31
而比較,31
好勁嘅,31
指一柞,31
入面無,31
工業中,31
大可以,31
特別指,31
意味著,31
人以上,31
係最近,31
宋皇臺,31
沙群島,31
嚟講有,31
名乘客,31
德學校,31
齣電影,31
鄭嘉穎,31
先會有,31
嘅準備,31
無固定,31
業上嘅,31
係交通,31
嘢都唔,31
啲事件,31
嘅甜品,31
動物係,31
譽主席,31
千六百,31
於是將,31
正常人,31
學年度,31
係元朗,31
一個交,31
初期時,31
到咗清,31
因病喺,31
十四號,31
個界別,31
分析話,31
李建復,31
有人講,31
亦比較,31
可能指,31
畫入面,31
講香港,31
唔會對,31
興建嘅,31
係公共,31
代理人,31
北大學,31
寄存器,31
個團體,31
同人嘅,31
清嘉慶,31
個亞科,31
以英國,31
同空間,31
數學性,31
畀一啲,31
決賽以,31
巴生谷,31
嘅插曲,31
係進化,31
甚至將,31
啲電影,31
得唔夠,31
庫頁島,31
山上有,31
亦做咗,31
組合器,31
好唔好,31
常用來,31
近幾年,31
指日本,31
何秀蘭,31
區登記,31
除咗大,31
風影響,31
有廣泛,31
旅遊局,31
鐵同埋,31
嘅啟發,31
傳說話,31
藝員同,31
時用嚟,31
又叫東,31
最先出,31
灣電視,31
編譯器,31
傑出嘅,31
商人同,31
蒙古文,31
嘅唔係,31
收錄嘅,31
城市人,31
響倫敦,31
費格遜,31
播學院,31
昌一個,31
程式係,31
講清楚,31
個語族,31
宮崎駿,31
嘅部落,31
香山縣,31
為咗記,31
裝飾嘅,31
間分別,31
咁樣做,31
會嗰陣,31
以發展,31
臺灣最,31
嘅試驗,31
數值大,31
類入面,31
一個強,31
結果由,31
相當之,31
下半部,31
行嘅人,31
伊朗嘅,31
力發電,31
嘅裝備,31
個個人,31
甚至仲,31
名成員,31
值可以,31
有二百,31
家族係,31
語言分,31
嘅華僑,31
周永康,31
被綁定,31
驅動軸,31
紙上面,31
近嘅一,31
好似佢,31
入面指,31
摩利臣,31
係民國,31
音文字,31
多數由,31
工廠同,31
用人手,31
同樣喺,31
規律係,31
際體育,31
佢出道,31
所以到,31
用兩個,31
臺灣叫,31
學生時,31
陳炳銓,31
家人嘅,31
服務係,31
第一同,31
印刷嘅,31
做過嘢,31
而宣佈,31
向量嘅,31
史察福,31
大清國,31
灣填海,31
日晏晝,31
泛指喺,31
億年到,31
係好少,31
為地球,31
嘅羊城,31
造一個,31
世界同,31
唔到呢,31
盛行嘅,31
道天橋,31
出嚟選,31
同警察,31
而命名,31
佢唔會,31
返唔到,31
加州聖,31
望落似,31
點就係,31
布里亞,31
居港權,31
過程同,31
表示呢,31
月第三,31
嘅治療,31
選名單,31
會喺個,31
過當地,31
邊個係,31
嘅字眼,31
線上面,31
具爭議,31
一選區,31
佢北面,31
備忘錄,31
個特性,31
抗爭者,31
月完工,31
嘅聯盟,31
法律同,31
透過呢,31
就要用,31
呢個物,31
級颱風,31
大清嘅,31
本身都,31
嘅單元,31
大數據,31
土地嘅,31
市政公,31
就會自,31
會議同,31
用嚟寫,31
使用呢,31
家合作,31
快捷通,31
同家庭,31
東面同,31
最後俾,31
歷史性,31
初先至,31
旗下一,31
民國三,31
其實有,31
除咗佢,31
過程喺,31
語文學,31
做預測,31
件可以,31
持續性,31
再加入,31
品都係,31
嘅電車,31
同內容,31
一個未,31
蘇永康,31
佘詩曼,31
路線都,31
唔食得,31
四人幫,31
陳夢家,31
藍田站,31
傾向於,31
但係用,31
同市民,31
後嚟又,31
以及有,31
的報告,31
程式碼,31
都好大,31
新會縣,31
唔理想,31
利同埋,31
國家中,31
響歐洲,31
演一個,31
併發症,31
佢一生,31
第三隻,31
選擇性,31
渡船街,31
峰嗰陣,31
等級嘅,31
一個波,31
模擬一,31
一世嘅,31
冚嘭唥,31
亞最大,31
文化係,31
歐洲一,31
價格同,31
